service_radius,user_num,semantic_ratio,sum_SemCom,duration,alloc_func
0.05,30,0.4200000000000002,1.4165414390843012,0.0021309852600097656,avg
0.05,30,0.4300000000000002,1.4158776158844883,0.002128124237060547,avg
0.05,30,0.4400000000000002,1.5305621875533706,0.002076387405395508,avg
0.05,30,0.45000000000000023,1.530715932885552,0.0020868778228759766,avg
0.05,30,0.46000000000000024,1.530689910112412,0.002088308334350586,avg
0.05,30,0.47000000000000025,1.646574598238731,0.002057313919067383,avg
0.05,30,0.48000000000000026,1.6450513979566221,0.0020644664764404297,avg
0.05,30,0.49000000000000027,1.6445334548300579,0.0020532608032226562,avg
0.05,30,0.5000000000000002,1.7596598978508826,0.0020291805267333984,avg
0.05,30,0.01,0.03781763213678717,0.0028295516967773438,avg
0.05,30,0.02,0.03729270841310773,0.0027463436126708984,avg
0.05,30,0.03,0.037784399854016285,0.0027358531951904297,avg
0.05,30,0.04,0.15252029239459455,0.0026841163635253906,avg
0.05,30,0.05,0.15217753875039908,0.0026879310607910156,avg
0.05,30,0.060000000000000005,0.1525714487311266,0.0026857852935791016,avg
0.05,30,0.07,0.2674411414017052,0.0026314258575439453,avg
0.05,30,0.08,0.2675240697969197,0.002630472183227539,avg
0.05,30,0.09,0.26739919934686157,0.0027136802673339844,avg
0.05,30,0.09999999999999999,0.2671706434698529,0.002679586410522461,avg
0.05,30,0.10999999999999999,0.38274600453973134,0.002662181854248047,avg
0.05,30,0.11999999999999998,0.3823872556261794,0.0025720596313476562,avg
0.05,30,0.12999999999999998,0.38269025689806735,0.002558469772338867,avg
0.05,30,0.13999999999999999,0.4969498498178641,0.004354715347290039,avg
0.05,30,0.15,0.49755301589926665,0.0030677318572998047,avg
0.05,30,0.16,0.4976613110653255,0.0025217533111572266,avg
0.05,30,0.17,0.6120654804571819,0.002472400665283203,avg
0.05,30,0.18000000000000002,0.6125739181180677,0.002463817596435547,avg
0.05,30,0.19000000000000003,0.6120964260463252,0.0024645328521728516,avg
0.05,30,0.20000000000000004,0.7272121882484083,0.0024199485778808594,avg
0.05,30,0.21000000000000005,0.7272009197561297,0.0024199485778808594,avg
0.05,30,0.22000000000000006,0.7270141393638268,0.0024166107177734375,avg
0.05,30,0.23000000000000007,0.7273898376616167,0.002421140670776367,avg
0.05,30,0.24000000000000007,0.8424888100511957,0.0024178028106689453,avg
0.05,30,0.25000000000000006,0.8416810741684889,0.0024161338806152344,avg
0.05,30,0.26000000000000006,0.8415369012678519,0.0024025440216064453,avg
0.05,30,0.2700000000000001,0.956426226777605,0.0023703575134277344,avg
0.05,30,0.2800000000000001,0.9566292726344797,0.0023407936096191406,avg
0.05,30,0.2900000000000001,0.9567482060510079,0.0023429393768310547,avg
0.05,30,0.3000000000000001,1.0715464418422112,0.002309560775756836,avg
0.05,30,0.3100000000000001,1.0716669321531844,0.0023272037506103516,avg
0.05,30,0.3200000000000001,1.0719358383715585,0.002310514450073242,avg
0.05,30,0.3300000000000001,1.0712877974897388,0.0023221969604492188,avg
0.05,30,0.34000000000000014,1.1860142051859837,0.002263784408569336,avg
0.05,30,0.35000000000000014,1.1868238873394823,0.002280712127685547,avg
0.05,30,0.36000000000000015,1.1866826376600383,0.0022699832916259766,avg
0.05,30,0.37000000000000016,1.3008282342242987,0.002235889434814453,avg
0.05,30,0.38000000000000017,1.3009023165674487,0.0022230148315429688,avg
0.05,30,0.3900000000000002,1.3011304766416723,0.0022361278533935547,avg
0.05,30,0.4000000000000002,1.4149792042086025,0.002184152603149414,avg
0.05,30,0.4100000000000002,1.4170439432187898,0.0021905899047851562,avg
0.05,30,0.4200000000000002,1.4161828322405223,0.002187013626098633,avg
0.05,30,0.4300000000000002,1.4151701142722806,0.002201080322265625,avg
